시간,지지율
2025-05-31 21:00:00,49.26
2025-05-31 22:00:00,49.26
2025-05-31 23:00:00,49.27
2025-06-01 00:00:00,49.28
2025-06-01 01:00:00,49.28
2025-06-01 02:00:00,49.29
2025-06-01 03:00:00,49.29
2025-06-01 04:00:00,49.3
2025-06-01 05:00:00,49.31
2025-06-01 06:00:00,49.31
2025-06-01 07:00:00,49.32
2025-06-01 08:00:00,49.33
2025-06-01 09:00:00,49.33
2025-06-01 10:00:00,49.34
2025-06-01 11:00:00,49.34
2025-06-01 12:00:00,49.35
2025-06-01 13:00:00,49.36
2025-06-01 14:00:00,49.36
2025-06-01 15:00:00,49.37
2025-06-01 16:00:00,49.38
2025-06-01 17:00:00,49.38
2025-06-01 18:00:00,49.39
2025-06-01 19:00:00,49.39
2025-06-01 20:00:00,49.4
2025-06-01 21:00:00,49.41
2025-06-01 22:00:00,49.41
2025-06-01 23:00:00,49.42
